"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 01, 1994","265.9","198.0","274.8","194.7","209.00M","33.55%"
"Sep 01, 1994","260.3","267.0","273.7","233.6","82.88M","-2.11%"
"Oct 01, 1994","259.2","259.2","288.1","253.6","90.34M","-0.42%"
"Nov 01, 1994","244.7","261.4","261.4","220.3","67.69M","-5.59%"
"Dec 01, 1994","244.7","241.4","244.7","221.4","19.69M","0.00%"
"Jan 01, 1995","180.2","244.7","249.2","178.0","23.55M","-26.36%"
"Feb 01, 1995","116.8","178.0","196.9","111.0","41.98M","-35.18%"
"Mar 01, 1995","144.4","123.5","159.1","111.2","140.82M","23.63%"
"Apr 01, 1995","148.9","140.2","155.7","138.6","93.89M","3.12%"
"May 01, 1995","162.0","148.0","180.7","147.2","150.22M","8.80%"
"Jun 01, 1995","216.5","163.5","224.3","163.5","345.18M","33.64%"
"Jul 01, 1995","261.6","214.9","264.8","208.7","302.21M","20.83%"
"Aug 01, 1995","359.8","261.6","373.8","255.4","374.80M","37.54%"
"Sep 01, 1995","521.1","358.2","560.4","350.4","374.46M","44.83%"
"Oct 01, 1995","551.6","512.4","588.7","501.5","155.50M","5.85%"
"Nov 01, 1995","497.1","551.6","562.5","418.6","110.78M","-9.88%"
"Dec 01, 1995","464.4","492.8","523.3","409.9","124.28M","-6.58%"
"Jan 01, 1996","473.1","473.1","484.0","449.2","52.13M","1.87%"
"Feb 01, 1996","536.4","471.0","536.4","462.2","115.88M","13.38%"
"Mar 01, 1996","665.4","536.4","674.6","529.8","253.75M","24.05%"
"Apr 01, 1996","641.0","662.4","683.8","619.7","151.15M","-3.67%"
"May 01, 1996","610.5","641.0","650.2","589.1","86.55M","-4.76%"
"Jun 01, 1996","583.0","601.3","622.7","564.7","65.88M","-4.50%"
"Jul 01, 1996","515.9","583.0","592.2","512.8","70.92M","-11.51%"
"Aug 01, 1996","473.1","518.9","528.1","467.0","51.14M","-8.30%"
"Sep 01, 1996","500.0","470.1","540.3","424.3","68.63M","5.69%"
"Oct 01, 1996","461.5","500.0","500.0","414.5","37.46M","-7.70%"
"Nov 01, 1996","363.2","461.5","470.1","342.7","41.90M","-21.30%"
"Dec 01, 1996","350.0","364.5","400.4","324.8","51.66M","-3.63%"
"Jan 01, 1997","401.7","349.1","406.4","325.6","83.10M","14.77%"
"Feb 01, 1997","465.8","410.3","508.5","410.3","118.04M","15.96%"
"Mar 01, 1997","436.1","461.5","474.4","410.3","62.08M","-6.38%"
"Apr 01, 1997","413.9","436.1","455.0","391.1","52.48M","-5.09%"
"May 01, 1997","437.2","419.4","469.4","416.1","62.68M","5.63%"
"Jun 01, 1997","407.2","433.3","443.9","387.8","57.66M","-6.86%"
"Jul 01, 1997","341.7","408.9","412.8","319.4","63.53M","-16.09%"
"Aug 01, 1997","272.2","345.0","347.8","255.6","40.19M","-20.34%"
"Sep 01, 1997","273.9","277.8","347.8","255.6","27.42M","0.62%"
"Oct 01, 1997","215.0","272.2","284.4","183.9","55.11M","-21.50%"
"Nov 01, 1997","127.8","215.0","219.4","92.8","33.04M","-40.56%"
"Dec 01, 1997","188.9","130.0","195.0","127.8","39.23M","47.81%"
"Jan 01, 1998","237.8","189.4","280.6","165.0","70.62M","25.89%"
"Feb 01, 1998","265.0","237.8","277.8","237.2","47.08M","11.44%"
"Mar 01, 1998","297.8","271.1","305.6","255.6","70.11M","12.38%"
"Apr 01, 1998","338.9","302.8","363.3","299.4","112.35M","13.80%"
"May 01, 1998","294.4","338.9","360.0","277.8","60.66M","-13.13%"
"Jun 01, 1998","300.0","310.0","311.1","260.6","32.98M","1.90%"
"Jul 01, 1998","400.0","305.0","407.2","302.8","148.99M","33.33%"
"Aug 01, 1998","333.3","399.4","412.2","311.1","78.73M","-16.68%"
"Sep 01, 1998","311.1","322.2","344.4","257.2","61.90M","-6.66%"
"Oct 01, 1998","282.2","305.6","310.0","258.3","58.60M","-9.29%"
"Nov 01, 1998","394.4","287.8","396.1","284.4","142.75M","39.76%"
"Dec 01, 1998","377.8","366.7","384.4","311.7","146.04M","-4.21%"
"Jan 01, 1999","473.9","372.2","505.6","367.2","446.63M","25.44%"
"Feb 01, 1999","466.7","483.3","483.3","420.6","142.04M","-1.52%"
"Mar 01, 1999","737.8","463.9","778.3","450.6","461.06M","58.09%"
"Apr 01, 1999","882.8","722.2","1,104.4","694.4","591.47M","19.65%"
"May 01, 1999","774.4","860.6","910.6","744.4","178.05M","-12.28%"
"Jun 01, 1999","1,361.7","777.2","1,426.7","761.1","600.81M","75.84%"
"Jul 01, 1999","1,722.2","1,417.2","2,100.0","1,403.3","494.17M","26.47%"
"Aug 01, 1999","2,088.9","1,694.4","2,133.3","1,445.6","362.37M","21.29%"
"Sep 01, 1999","2,250.0","2,072.2","2,561.1","1,888.9","312.50M","7.71%"
"Oct 01, 1999","2,405.6","2,244.4","2,480.6","2,005.6","210.27M","6.92%"
"Nov 01, 1999","4,094.4","2,422.2","4,411.1","2,361.1","397.44M","70.20%"
"Dec 01, 1999","5,433.3","3,955.5","5,433.3","3,538.9","239.89M","32.70%"
"Jan 01, 2000","5,833.3","5,722.2","5,833.3","4,250.0","218.30M","7.36%"
"Feb 01, 2000","8,888.9","6,111.1","11,000.0","5,555.5","411.54M","52.38%"
"Mar 01, 2000","5,083.3","9,166.6","9,222.2","4,250.0","349.83M","-42.81%"
"Apr 01, 2000","4,433.3","4,805.5","4,805.5","2,405.6","268.56M","-12.79%"
"May 01, 2000","2,750.0","4,400.0","4,945.0","2,236.7","149.42M","-37.97%"
"Jun 01, 2000","2,400.0","2,716.7","3,533.3","2,311.7","138.33M","-12.73%"
"Jul 01, 2000","1,525.0","2,433.3","2,470.0","1,361.7","235.49M","-36.46%"
"Aug 01, 2000","2,348.3","1,558.3","2,598.3","1,303.3","316.21M","53.99%"
"Sep 01, 2000","1,683.3","2,448.3","2,458.3","1,606.7","233.63M","-28.32%"
"Oct 01, 2000","1,091.7","1,648.3","1,698.3","1,053.3","250.22M","-35.15%"
"Nov 01, 2000","965.0","1,141.7","1,445.0","941.7","257.53M","-11.61%"
"Dec 01, 2000","661.7","948.3","1,065.0","600.0","339.41M","-31.43%"
"Jan 01, 2001","1,158.3","695.0","1,333.3","496.7","619.85M","75.05%"
"Feb 01, 2001","873.3","1,101.7","1,141.7","825.0","339.36M","-24.61%"
"Mar 01, 2001","783.3","858.3","963.3","603.3","404.44M","-10.31%"
"Apr 01, 2001","783.3","783.3","853.3","723.3","254.22M","0.00%"
"May 01, 2001","753.3","800.0","945.0","741.7","313.39M","-3.83%"
"Jun 01, 2001","681.7","761.7","775.0","636.7","222.13M","-9.50%"
"Jul 01, 2001","523.3","676.7","680.0","500.0","265.74M","-23.24%"
"Aug 01, 2001","385.0","530.0","576.7","385.0","276.96M","-26.43%"
"Sep 01, 2001","351.7","385.0","450.0","342.5","407.89M","-8.65%"
"Oct 01, 2001","436.7","348.3","541.7","338.3","675.92M","24.17%"
"Nov 01, 2001","446.7","446.7","489.2","374.2","375.31M","2.29%"
"Dec 01, 2001","353.3","440.0","465.0","321.3","334.40M","-20.91%"
"Jan 01, 2002","330.2","365.0","385.8","318.3","156.39M","-6.54%"
"Feb 01, 2002","300.5","336.7","337.5","257.0","303.76M","-8.99%"
"Mar 01, 2002","395.8","302.5","506.7","298.3","548.20M","31.71%"
"Apr 01, 2002","325.0","397.5","414.2","322.2","284.55M","-17.89%"
"May 01, 2002","325.0","330.0","361.7","305.5","201.07M","0.00%"
"Jun 01, 2002","277.3","328.3","342.5","262.0","200.71M","-14.68%"
"Jul 01, 2002","225.0","278.3","296.7","214.2","243.47M","-18.86%"
"Aug 01, 2002","206.3","221.7","239.0","176.8","493.59M","-8.31%"
"Sep 01, 2002","196.3","203.0","205.8","168.3","266.88M","-4.85%"
"Oct 01, 2002","155.3","194.2","195.2","143.5","298.31M","-20.89%"
"Nov 01, 2002","231.7","155.3","253.3","137.8","524.58M","49.20%"
"Dec 01, 2002","225.8","233.5","259.5","202.7","403.24M","-2.55%"
"Jan 01, 2003","257.2","231.7","262.7","203.5","390.19M","13.91%"
"Feb 01, 2003","260.3","266.3","294.5","252.0","438.48M","1.21%"
"Mar 01, 2003","230.0","280.3","289.0","225.5","338.26M","-11.64%"
"Apr 01, 2003","222.8","226.7","237.7","210.2","178.74M","-3.13%"
"May 01, 2003","266.3","221.5","285.3","220.2","604.59M","19.52%"
"Jun 01, 2003","379.2","271.3","421.7","253.7","800.61M","42.40%"
"Jul 01, 2003","580.0","412.5","645.0","386.7","2.45B","52.95%"
"Aug 01, 2003","570.0","595.0","603.3","521.7","843.44M","-1.72%"
"Sep 01, 2003","786.7","575.0","845.0","570.0","1.80B","38.02%"
"Oct 01, 2003","941.7","793.3","1,228.3","763.3","2.09B","19.70%"
"Nov 01, 2003","691.7","991.7","993.3","535.0","1.35B","-26.55%"
"Dec 01, 2003","546.7","658.3","761.7","461.7","1.49B","-20.96%"
"Jan 01, 2004","625.0","548.3","721.7","545.0","1.41B","14.32%"
"Feb 01, 2004","673.3","621.7","741.7","578.3","1.74B","7.73%"
